id;rank;name;employees;previousrank;revenues;revenuechange;profits;profitschange;assets;marketvalue
126;125;U.S. Bancorp;"71,191";131;023 ;5.8%;"$5,888.0 ";0.2%;446 ;087 
127;126;Aflac;"10,212";135;023 ;8.1%;"$2,659.0 ";5.0%;130 ;029 
128;127;Sears Holdings;140;111;022 ;-12.0%;"-$2,221.0 ";-;009 ;001 
129;128;Dollar General;121;139;022 ;7.9%;"$1,251.1 ";7.4%;012 ;019 
130;129;AutoNation;26;136;022 ;3.6%;$430.5 ;-2.7%;010 ;004 
131;130;Community Health Systems;108;125;021 ;-5.8%;"-$1,721.0 ";-;022 ;001 
132;131;Starbucks;254;146;021 ;11.2%;"$2,817.7 ";2.2%;014 ;085 
133;132;Eli Lilly;"41,975";141;021 ;6.3%;"$2,737.6 ";13.7%;039 ;093 
134;133;International Paper;55;127;021 ;-5.8%;$904.0 ;-3.6%;033 ;021 
135;134;Tenet Healthcare;"116,475";140;021 ;4.8%;-$192.0 ;-;025 ;002 
136;135;Abbott Laboratories;75;138;021 ;0.9%;"$1,400.0 ";-68.3%;053 ;077 
137;136;Dollar Tree;"116,05";180;021 ;33.7%;$896.2 ;217.4%;016 ;019 
138;137;Whirlpool;93;134;021 ;-0.8%;$888.0 ;13.4%;019 ;013 
139;138;Southwest Airlines;"53,536";142;020 ;3.1%;"$2,244.0 ";2.9%;023 ;033 
140;139;Emerson Electric;"103,5";128;020 ;-9.1%;"$1,635.0 ";-39.7%;022 ;039 
141;140;Staples;"61,503";132;020 ;-4.0%;"-$1,497.0 ";-494.8%;008 ;006 
142;141;Plains GP Holdings;"5,1";121;020 ;-12.8%;$94.0 ;-20.3%;026 ;009 
143;142;Penske Automotive Group;24;143;020 ;4.0%;$342.9 ;5.2%;009 ;004 
144;143;Union Pacific;"42,919";129;020 ;-8.6%;"$4,233.0 ";-11.3%;056 ;086 
145;144;Danaher;62;133;020 ;-4.8%;"$2,553.7 ";-23.9%;045 ;059 
146;145;Southern;"32,015";162;020 ;13.8%;"$2,448.0 ";3.4%;110 ;049 
147;146;ManpowerGroup;28;144;020 ;1.7%;$443.7 ;5.8%;008 ;007 
148;147;Bristol-Myers Squibb;25;168;019 ;17.3%;"$4,457.0 ";184.8%;034 ;090 
149;148;Altria Group;"8,3";149;019 ;2.6%;"$14,239.0 ";171.7%;046 ;139 
150;149;Fluor;"61,551";155;019 ;5.1%;$281.4 ;-31.8%;009 ;007 
151;150;Kohl;85;145;019 ;-2.7%;$556.0 ;-17.4%;014 ;007 
152;151;Lear;"148,4";154;019 ;1.9%;$975.1 ;30.8%;010 ;010 
153;152;Jabil Circuit;138;158;018 ;2.5%;$254.1 ;-10.5%;010 ;005 
154;153;Hartford Financial Services Group;"16,9";152;018 ;-0.4%;$896.0 ;-46.7%;223 ;018 
155;154;Thermo Fisher Scientific;"54,8";164;018 ;7.7%;"$2,021.8 ";2.3%;046 ;060 
156;155;Kimberly-Clark;42;151;018 ;-2.1%;"$2,166.0 ";113.8%;015 ;047 
157;156;Molina Healthcare;21;201;018 ;25.4%;$52.0 ;-63.6%;007 ;003 
158;157;PG&E Corp.;24;166;018 ;4.9%;"$1,393.0 ";59.4%;069 ;034 
159;158;Supervalu;38;160;018 ;-1.6%;$178.0 ;-7.3%;004 ;001 
160;159;Cummins;"55,4";148;018 ;-8.4%;"$1,394.0 ";-0.4%;015 ;025 
161;160;CenturyLink;40;159;017 ;-2.4%;$626.0 ;-28.7%;047 ;013 
162;161;AECOM;87;156;017 ;-3.2%;$96.1 ;-;014 ;006 
