id;date;price
615;01.04.2001;260.75
616;01.05.2001;272.057
617;01.06.2001;270.738
618;01.07.2001;267.707
619;01.08.2001;272.657
620;01.09.2001;282.478
621;01.10.2001;283.322
622;01.11.2001;276.248
623;01.12.2001;275.992
624;01.01.2002;281.764
625;01.02.2002;295.683
626;01.03.2002;294.353
627;01.04.2002;302.862
628;01.05.2002;314.48
629;01.06.2002;321.536
630;01.07.2002;313.567
631;01.08.2002;310.045
632;01.09.2002;318.8
633;01.10.2002;316.748
634;01.11.2002;319.255
635;01.12.2002;333.3
636;01.01.2003;356.864
637;01.02.2003;359.575
638;01.03.2003;341.564
639;01.04.2003;328.208
640;01.05.2003;355.405
641;01.06.2003;356.912
642;01.07.2003;350.765
643;01.08.2003;358.993
644;01.09.2003;378.859
645;01.10.2003;379.093
646;01.11.2003;390.2
647;01.12.2003;407.674
648;01.01.2004;414.495
649;01.02.2004;404.73
650;01.03.2004;405.976
651;01.04.2004;404.85
652;01.05.2004;383.953
653;01.06.2004;391.78
654;01.07.2004;398.441
655;01.08.2004;400.133
656;01.09.2004;405.402
657;01.10.2004;420.21
658;01.11.2004;439.059
659;01.12.2004;442.974
660;01.01.2005;424.08
661;01.02.2005;423.43
662;01.03.2005;434.355
663;01.04.2005;429.14
664;01.05.2005;422.903
665;01.06.2005;430.302
666;01.07.2005;424.745
667;01.08.2005;437.773
668;01.09.2005;455.936
669;01.10.2005;470.107
670;01.11.2005;476.668
671;01.12.2005;509.423
672;01.01.2006;549.433
673;01.02.2006;555.518
674;01.03.2006;557.215
675;01.04.2006;611.853
676;01.05.2006;676.769
677;01.06.2006;597.898
678;01.07.2006;633.093
679;01.08.2006;631.557
680;01.09.2006;600.15
681;01.10.2006;586.648
682;01.11.2006;626.825
683;01.12.2006;629.513
684;01.01.2007;630.352
685;01.02.2007;665.103
686;01.03.2007;655.891
687;01.04.2007;680.008
688;01.05.2007;668.31
689;01.06.2007;655.714
690;01.07.2007;665.266
691;01.08.2007;664.53
692;01.09.2007;710.645
693;01.10.2007;754.48
694;01.11.2007;808.311
695;01.12.2007;803.618
696;01.01.2008;887.784
697;01.02.2008;924.283
698;01.03.2008;971.055
699;01.04.2008;911.6
700;01.05.2008;889.125
701;01.06.2008;889.536
702;01.07.2008;941.167
703;01.08.2008;840.388
704;01.09.2008;824.92
705;01.10.2008;812.815
706;01.11.2008;757.85
707;01.12.2008;819.94
708;01.01.2009;857.726
709;01.02.2009;939.763
710;01.03.2009;925.989
711;01.04.2009;892.663
712;01.05.2009;926.855
713;01.06.2009;947.807
714;01.07.2009;934.272
715;01.08.2009;949.5
716;01.09.2009;996.443
717;01.10.2009;1043.511
718;01.11.2009;1126.119
719;01.12.2009;1135.012
720;01.01.2010;1119.575
721;01.02.2010;1095.8
722;01.03.2010;1115.554
723;01.04.2010;1148.475
724;01.05.2010;1204.321
725;01.06.2010;1232.382
726;01.07.2010;1196.00
727;01.08.2010;1213.464
728;01.09.2010;1271.461
729;01.10.2010;1343.19
730;01.11.2010;1371.784
731;01.12.2010;1393.512
732;01.01.2011;1360.475
733;01.02.2011;1371.313
734;01.03.2011;1422.848
735;01.04.2011;1474.431
736;01.05.2011;1512.188
737;01.06.2011;1528.38
738;01.07.2011;1568.526
739;01.08.2011;1759.5
740;01.09.2011;1780.648
741;01.10.2011;1667.893
742;01.11.2011;1735.977
743;01.12.2011;1652.725
744;01.01.2012;1656.095
745;01.02.2012;1743.095
746;01.03.2012;1675.057
747;01.04.2012;1648.539
748;01.05.2012;1585.114
749;01.06.2012;1595.632
750;01.07.2012;1592.784
751;01.08.2012;1625.682
752;01.09.2012;1741.925
753;01.10.2012;1746.348
754;01.11.2012;1724.352
755;01.12.2012;1687.342
756;01.01.2013;1671.886
757;01.02.2013;1630.688
758;01.03.2013;1591.013
759;01.04.2013;1485.905
760;01.05.2013;1416.143
761;01.06.2013;1342.7
762;01.07.2013;1284.348
763;01.08.2013;1345.048
764;01.09.2013;1348.464
765;01.10.2013;1314.402
766;01.11.2013;1277.417
767;01.12.2013;1221.588
768;01.01.2014;1243.068
769;01.02.2014;1298.713
770;01.03.2014;1336.56
