id;rank;name;employees;previousrank;revenues;revenuechange;profits;profitschange;assets;marketvalue,,,
180;179;Omnicom Group;785;186;15417;1.9%;1,148.6 ;5.0%;23,165;20219,
181;180;Genuine Parts;40;183;15340;0.4%;687.2 ;-2.6%;8,859;13712,,
182;181;DaVita HealthCare Partners;703;200;15197;6.9%;879.9 ;226.2%;18,741;13227,,
183;182;Colgate-Palmolive;367;174;15195;-5.2%;2,441.0 ;76.4%;12,123;64715,
184;183;PPG Industries;47;182;15178;-1.0%;877.0 ;-37.6%;15,769;26970,,
185;184;Goodyear Tire & Rubber;66;169;15158;-7.8%;1,264.0 ;311.7%;16,511;9070,
186;185;Synchrony Financial;15;;15122;11.0%;2,251.0 ;1.7%;90,207;27810,
187;186;DISH Network;16;187;15095;0.2%;1,449.9 ;94.1%;28,092;29547,
188;187;Visa;142;204;15082;8.7%;5,991.0 ;-5.3%;64,035;206242,
189;188;Nordstrom;725;197;14757;2.2%;354.0 ;-41.0%;7,858;7770,,
190;189;INTL FCStone;1464;83;14755;-57.5%;54.7 ;-1.8%;5,951;708,,
191;190;WestRock;39;251;14706;29.2%;-396.3 ;-178.2%;23,038;13029,,
192;191;XPO Logistics;87;353;14619;91.8%;69.0 ;0;11,698;5338,,
193;192;Aramark;21725;199;14416;0.6%;287.8 ;22.0%;10,582;9081,,
194;193;CBS;1841;203;14386;3.6%;1,261.0 ;-10.8%;24,238;28405,
195;194;AES;19;190;14287;-4.5%;-1,130.0 ;-469.3%;36,119;7371,
196;195;WellCare Health Plans;74;202;14237;2.5%;242.1 ;104.1%;6,153;6212,,
197;196;FirstEnergy;15707;188;14156;-3.1%;-6,177.0 ;0;43,148;14118,
198;197;ConAgra Foods;209;176;14134;-10.8%;-677.0 ;0;13,391;17557,,
199;198;Synnex;110;212;14062;5.4%;234.9 ;12.7%;5,223;4469,,
200;199;CDW;8516;220;13982;7.6%;424.4 ;5.3%;6,948;9197,,
201;200;Textron;36;209;13788;2.7%;962.0 ;38.0%;15,358;12851,,
202;201;Waste Management;412;221;13609;5.0%;1,182.0 ;57.0%;20,859;32216,
203;202;Illinois Tool Works;50;211;13599;1.4%;2,035.0 ;7.2%;15,201;45791,
204;203;Office Depot;38;196;13585;-6.2%;529.0 ;0;5,540;2402,,
205;204;Monsanto;2245;189;13502;-10.0%;1,336.0 ;-42.3%;19,736;49644,
206;205;Cognizant Technology Solutions;2602;230;13487;8.6%;1,553.0 ;-4.3%;14,262;36226,
207;206;Texas Instruments;29865;219;13370;2.8%;3,595.0 ;20.4%;16,431;80531,
208;207;Lincoln National;9057;205;13330;-1.8%;1,192.0 ;3.3%;261,627;14760,
209;208;Newell Brands;534;434;13264;122.1%;527.8 ;50.8%;33,838;22787,,
210;209;Land O;10;215;13233;0.6%;244.9 ;-20.4%;8,305;0,,
211;210;Marsh & McLennan;60;222;13211;2.5%;1,768.0 ;10.6%;18,190;38078,
212;211;Ecolab;47565;206;13153;-2.9%;1,229.6 ;22.7%;18,330;36356,
213;212;C.H. Robinson Worldwide;14125;208;13144;-2.5%;513.4 ;0.7%;3,688;10958,,
214;213;Loews;158;210;13105;-2.3%;654.0 ;151.5%;76,594;15747,,
215;214;CBRE Group;75;259;13072;20.4%;572.0 ;4.5%;10,780;11753,,
216;215;Kinder Morgan;11121;198;13058;-9.3%;708.0 ;179.8%;80,305;48533,,
217;216;Kellogg;37369;207;13014;-3.8%;694.0 ;13.0%;15,111;25417,,
218;217;Western Digital;72878;194;12994;-10.8%;242.0 ;-83.5%;32,862;23775,,
219;218;Guardian Life Ins. Co. of America;8876;226;12919;2.3%;263.9 ;-35.7%;70,339;0,,
